               name | period_in_days | planet_radius_in_earth_radii | planet_equilibrium_temperature |            rp_over_rs |          transit_depth | semimajor_axis_in_au
      Kepler-1665 b |        11.9548 |                        2.839 |                            nan |  0.032534544164151205 |  0.0010584965639691053 |                  nan
      Kepler-1666 b |        25.8476 |                        2.883 |                            nan |   0.02184382018467635 | 0.00047715248026047397 |                  nan
      Kepler-1666 c |        40.7157 |                        3.236 |                            nan |  0.024518419048773037 |  0.0006011528726512365 |                  nan
      Kepler-1667 b |        83.5781 |                        2.984 |                            nan |  0.025808470903474438 |  0.0006660771703754867 |                  nan
      Kepler-1668 b |         15.434 |                        4.348 |              752.1760502733931 |  0.037963789537088365 |    0.00144124931601634 |  0.12251778056898667
      Kepler-1669 b |        9.51216 |                         2.78 |                            nan |   0.03589680269340637 |   0.001288580443609347 |                  nan
       Kepler-167 b |      4.3931632 |                        1.615 |                916.70588968968 |   0.02028238336867765 |  0.0004113750751140117 |               0.0483
       Kepler-167 c |       7.406114 |                        1.548 |              770.3277378358257 |   0.01944094703078204 |   0.000377950421453673 |               0.0684
       Kepler-167 d |      21.803855 |                        1.194 |              537.4838568438097 |  0.014995149066378397 | 0.00022485449552290892 |               0.1405
       Kepler-167 e |     1071.23228 |                        10.15 |                146.54556677934 |   0.12747132581552825 |    0.01624893890516856 |                 1.89
      Kepler-1670 b |        20.4998 |                        3.356 |              895.5886524063119 |  0.019597091505691465 |  0.0003840459954824446 |   0.1513207063158635
      Kepler-1671 b |        4.16787 |                        1.326 |             1091.3959723436485 |  0.013213717494422256 | 0.00017460233002240078 | 0.046455884512020165
      Kepler-1672 b |        150.878 |                         2.97 |              404.7322504141444 |   0.02521169325858847 |  0.0006356294769651553 |   0.5335170830373361
      Kepler-1673 b |        33.7888 |                        2.936 |              666.7571902380075 |  0.025881654338187322 |  0.0006698600312814106 |  0.21050305035535807
      Kepler-1674 b |        62.5611 |                        3.206 |             437.40899194906376 |  0.033784195856649796 |  0.0011413718896804731 |  0.29996223118235615
      Kepler-1675 b |        63.0382 |                        3.125 |              523.1761787502576 |   0.02535367383204794 |  0.0006428087767818726 |  0.31705273977508286
      Kepler-1676 b |        29.9221 |                        3.377 |                            nan |  0.035181771956302996 |   0.001237757077985308 |                  nan
      Kepler-1677 b |         22.064 |                        2.702 |              765.6795626701551 |  0.020643028843850317 | 0.00042613463984803615 |  0.16035531616941656
      Kepler-1678 b |        147.974 |                        3.304 |              339.2275685099797 |   0.03365633718237426 |  0.0011327490325336684 |   0.5344236153653321
      Kepler-1679 b |        9.75376 |                        2.069 |              824.2475977024916 |  0.021075956909906886 |  0.0004441959596682518 |  0.08843815429080804
       Kepler-168 b |       4.425391 |                         1.46 |             1348.6482891089765 |  0.012058664097473927 | 0.00014541137981570666 |                0.056
       Kepler-168 c |      13.193242 |                         2.69 |              937.0520706105851 |  0.022217675631647164 |  0.0004936251104730882 |                0.116
      Kepler-1680 b |        8.77424 |                         1.36 |              716.2019073092445 |  0.017811897574898868 |  0.0003172636952186882 |  0.07855379125823685
      Kepler-1681 b |        69.8956 |                        2.553 |              433.3884693348272 |  0.026298448575761534 |  0.0006916083974919738 |   0.2948494261883949
      Kepler-1682 b |        14.8334 |                        2.889 |              719.3764703905262 |  0.031530987802624276 |   0.000994203191809241 |  0.11490990437781633
      Kepler-1683 b |        15.0337 |                        1.875 |              701.9016158092726 |  0.018094516692766845 |   0.000327411534344818 |   0.1142367552812447
      Kepler-1684 b |        47.7055 |                        2.871 |             380.62056584078067 |   0.04386834626994394 |  0.0019244318044597042 |  0.22067858972696805
      Kepler-1685 b |        20.4905 |                        2.577 |              603.1943070069159 |  0.029905884247356723 |  0.0008943619126162989 |  0.14605434594770467
      Kepler-1686 b |        9.30987 |                        1.426 |             1005.2314233292778 |  0.011467902579504675 |    0.00013151278957301 |  0.08746665835756466
      Kepler-1687 b |        5.77954 |                        1.656 |              724.7369775044101 |  0.023356958901383215 |  0.0005455475291209046 | 0.051950839936897704
      Kepler-1688 b |        5.62012 |                        1.262 |                            nan |  0.007817483265930873 |  6.111304461310922e-05 |                  nan
